crn, date, julian,c_deep_mean,c_deep_StdDev,c_shallow_mean,StdDev,StdErr
142,112502,5168,1.57,0,2.07,0.198,0.14
143,121902,5192,1.84,0,1.94,0.057,0.04
144,11703,5221,1.63,0,2.015,0.092,0.065
145,22603,5261,1.92,0,1.87,0.028,0.02
146,32903,5292,1.59,0,2.2,0,0
147,42403,5318,1.77,0,1.99,0.24,0.17
148,,,,,2.07,0.028,0.02
149,62003,5375,1.96,0,2.255,0.049,0.035
150,72003,5405,1.93,0,2.24,0.127,0.09
151,82103,5437,2.24,0,2.14,0,0
152,101503,5492,1.72,0,2.495,0.177,0.125
153,111003,5518,1.71,0,1.97,0,0
154,122003,5558,1.48,0,2.06,0.24,0.17
155,12204,5591,1.72,0,1.775,0.078,0.055
156,22504,5625,1.56,0,1.555,0.106,0.075
157,32004,5649,1.55,0,1.57,0,0
158,42104,5681,2.05,0,2.325,0.12,0.085
159,51904,5709,2.28,0,2.495,0.163,0.115
160,61604,5737,1.67,0,2.435,0.177,0.125
161,71304,5764,1.89,0,3.365,0.318,0.225
162,81604,5798,2,0,3,0,0
163,92904,5842,1.76,0,1.99,0.042,0.03
164,103104,5874,1.76,0,1.79,0,0
165,112804,5902,1.23,0,1.835,0.078,0.055
166,122104,5925,1.3,0,1.81,0.042,0.03
167,20205,5968,1.37,0,1.42,0,0
168,30505,5999,1.56,0,1.63,0,0
169,51805,6073,1.35,0,1.865,0.163,0.115
170,61505,6101,1.95,0,2.055,0.021,0.015
171,71705,6133,1.92,0,2.08,0,0
172,81405,6161,1.52,0,1.81,0.141,0.1
173,91005,6188,1.64,0,3.23,0.028,0.02
174,100905,6217,1.68,0,2.465,0.219,0.155
175,111205,6251,1.92,0,2,0,0
176,121305,6282,1.9,0,1.82,0,0
177,12506,6325,2.2,0,1.74,0,0
178,21506,6346,1.67,0,1.65,0.24,0.17
179,31006,6369,1.7,0,2.07,0.113,0.08
180,40206,6392,1.55,0,2.48,0,0
181,52706,6447,3.02,0,2.14,0,0
182,61406,6465,2.07,0,1.73,0,0
183,71306,6494,0.99,0,2.19,0,0
184,80906,6521,2,0,1.09,0,0
185,91606,6559,1.77,0,2.58,0,0
186,102106,6594,1.73,0,2.14,0,0
187,110906,6613,1.65,0,1.97,0,0
188,121006,6644,1.76,0,1.95,0.212,0.15
189,20707,6703,1.67,0,2.2,0,0
